Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,AE,AU,BN,ID,IN,KH,LA,MY,PH,SA,SG,TH,VN
0,CO2_Budget,0,0,0,720,330,330,330,330,330,330,330,330,330,330,330,330,330
1,RE_PV_Openfield_Lim,0,0,0,720,27,24,17,15,26,18,23,16,20,25,14,20,22
2,RE_WIND_Onshore_Lim,0,0,0,720,27,24,17,15,26,18,23,16,20,25,14,20,22
3,PP_CO2,0,0,0,720,13,10,3,1,12,4,9,2,6,11,0,7,8
4,FF_to_HTH,0,0,0,720,13,10,3,1,12,4,9,2,6,11,0,7,8
5,EL_Demand,0,0,0,720,13,10,3,1,12,4,9,2,6,11,0,7,8
6,HTH_Demand,0,0,0,720,13,10,3,1,12,4,9,2,6,11,0,7,8
