country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
TH,,,,32.9,0.0,NH3_to_HTH_[TH]
TH,,,,32.9,1.4,FF_to_HTH_[TH]
TH,,,,32.9,0.0,EL_Demand_[TH]
TH,,,,32.9,0.0,HTH_Demand_[TH]
TH,,,,41.2,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,41.2,2.9,RE_PV_Openfield_Lim_[TH]
TH,,,,41.2,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,41.2,9.8,RE_WIND_Onshore_Lim_[TH]
TH,,,,41.2,0.2,PP_CO2_[TH]
TH,,,,41.2,2.0,BESS_[TH]
TH,,,,41.2,0.4,EL_to_HTH_[TH]
TH,,,,41.2,0.1,EL_to_NH3_[TH]
TH,,,,41.2,0.8,NH3_Storage_[TH]
TH,,,,41.2,0.2,NH3_to_EL_[TH]
TH,,,,41.2,0.0,NH3_to_HTH_[TH]
TH,,,,41.2,1.5,FF_to_HTH_[TH]
TH,,,,41.2,0.0,EL_Demand_[TH]
TH,,,,41.2,0.0,HTH_Demand_[TH]
TH,,,,49.4,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,49.4,2.9,RE_PV_Openfield_Lim_[TH]
TH,,,,49.4,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,49.4,9.8,RE_WIND_Onshore_Lim_[TH]
TH,,,,49.4,0.2,PP_CO2_[TH]
TH,,,,49.4,2.2,BESS_[TH]
TH,,,,49.4,0.4,EL_to_HTH_[TH]
TH,,,,49.4,0.1,EL_to_NH3_[TH]
TH,,,,49.4,0.4,NH3_Storage_[TH]
TH,,,,49.4,0.1,NH3_to_EL_[TH]
TH,,,,49.4,0.0,NH3_to_HTH_[TH]
TH,,,,49.4,1.5,FF_to_HTH_[TH]
TH,,,,49.4,0.0,EL_Demand_[TH]
TH,,,,49.4,0.0,HTH_Demand_[TH]
TH,,,,57.6,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,57.6,2.9,RE_PV_Openfield_Lim_[TH]
TH,,,,57.6,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,57.6,9.7,RE_WIND_Onshore_Lim_[TH]
TH,,,,57.6,0.3,PP_CO2_[TH]
TH,,,,57.6,2.0,BESS_[TH]
TH,,,,57.6,0.4,EL_to_HTH_[TH]
TH,,,,57.6,0.1,EL_to_NH3_[TH]
TH,,,,57.6,0.2,NH3_Storage_[TH]
TH,,,,57.6,0.0,NH3_to_EL_[TH]
TH,,,,57.6,0.0,NH3_to_HTH_[TH]
TH,,,,57.6,1.5,FF_to_HTH_[TH]
TH,,,,57.6,0.0,EL_Demand_[TH]
TH,,,,57.6,0.0,HTH_Demand_[TH]
TH,,,,66.0,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,66.0,2.9,RE_PV_Openfield_Lim_[TH]
TH,,,,66.0,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,66.0,9.5,RE_WIND_Onshore_Lim_[TH]
TH,,,,66.0,0.3,PP_CO2_[TH]
TH,,,,66.0,1.9,BESS_[TH]
TH,,,,66.0,0.4,EL_to_HTH_[TH]
TH,,,,66.0,0.0,EL_to_NH3_[TH]
TH,,,,66.0,0.0,NH3_Storage_[TH]
TH,,,,66.0,0.0,NH3_to_EL_[TH]
TH,,,,66.0,0.0,NH3_to_HTH_[TH]
TH,,,,66.0,1.5,FF_to_HTH_[TH]
TH,,,,66.0,0.0,EL_Demand_[TH]
TH,,,,66.0,0.0,HTH_Demand_[TH]
